Date,Open,High,Low,Close,Adj Close,Volume
2022-08-30,4251.500000,4337.500000,4233.200195,4322.899902,4305.244141,848217
2022-09-01,4298.000000,4328.950195,4244.000000,4277.149902,4259.680664,390072
2022-09-02,4309.799805,4398.000000,4284.000000,4312.350098,4294.737305,735146
2022-09-05,4282.000000,4308.600098,4233.000000,4282.549805,4265.058105,522750
2022-09-06,4298.899902,4422.000000,4291.750000,4415.500000,4397.465820,1078704
2022-09-07,4379.200195,4410.000000,4335.000000,4376.500000,4358.625000,396347
2022-09-08,4400.000000,4444.899902,4361.000000,4414.799805,4396.768555,562760
2022-09-09,4436.899902,4474.899902,4415.000000,4460.350098,4442.132813,476210
2022-09-12,4473.000000,4501.799805,4447.049805,4481.600098,4463.295898,331303
2022-09-13,4520.000000,4520.000000,4466.299805,4490.100098,4471.761230,309270
2022-09-14,4405.350098,4480.000000,4405.350098,4427.600098,4409.516113,362669
2022-09-15,4449.750000,4459.149902,4328.049805,4341.850098,4324.116211,427750
2022-09-16,4342.000000,4363.299805,4257.000000,4279.750000,4262.270020,458526
2022-09-19,4295.899902,4331.000000,4226.700195,4308.200195,4290.604004,266140
2022-09-20,4316.500000,4595.000000,4316.500000,4559.350098,4540.728027,1173769
2022-09-21,4556.000000,4668.500000,4556.000000,4604.799805,4585.992188,1177984
2022-09-22,4569.549805,4631.200195,4522.200195,4608.899902,4590.076172,511789
2022-09-23,4610.000000,4719.000000,4382.850098,4418.450195,4400.403809,1205497
2022-09-26,4418.450195,4420.450195,4191.100098,4282.700195,4265.208496,843901
2022-09-27,4335.000000,4354.100098,4205.000000,4242.950195,4225.620605,651304
2022-09-28,4229.000000,4295.000000,4183.100098,4268.950195,4251.514648,395837
2022-09-29,4297.450195,4404.649902,4284.950195,4391.700195,4373.763672,631907
2022-09-30,4352.200195,4484.899902,4352.200195,4383.399902,4365.497070,761064
2022-10-03,4385.000000,4490.000000,4350.950195,4365.200195,4347.371582,454169
2022-10-04,4430.000000,4444.549805,4365.200195,4404.399902,4386.411133,307009
2022-10-06,4426.450195,4450.000000,4361.299805,4390.500000,4372.567871,272050
2022-10-07,4379.600098,4433.000000,4353.549805,4394.100098,4376.153320,501530
2022-10-10,4375.000000,4420.000000,4295.000000,4340.600098,4322.872070,207878
2022-10-11,4362.350098,4362.350098,4263.649902,4275.549805,4258.086914,258216
2022-10-12,4280.000000,4350.000000,4245.000000,4287.049805,4269.540527,621343
2022-10-13,4270.100098,4317.950195,4236.000000,4266.049805,4248.626465,277038
2022-10-14,4301.000000,4324.000000,4264.049805,4297.149902,4279.599121,254366
2022-10-17,4290.000000,4300.549805,4221.049805,4290.850098,4273.324707,254734
2022-10-18,4325.000000,4377.000000,4258.000000,4366.000000,4348.168457,387469
2022-10-19,4380.000000,4405.899902,4341.100098,4388.750000,4370.825195,249672
2022-10-20,4384.000000,4393.299805,4295.200195,4322.500000,4304.845703,370651
2022-10-21,4344.149902,4430.000000,4322.700195,4389.049805,4371.123535,364601
2022-10-24,4410.200195,4435.000000,4320.000000,4410.149902,4392.137695,30919
2022-10-25,4437.799805,4449.899902,4372.000000,4404.049805,4386.062012,474364
2022-10-27,4445.000000,4499.000000,4402.850098,4431.850098,4413.749512,421237
2022-10-28,4454.250000,4584.000000,4415.000000,4567.000000,4548.346680,691801
2022-10-31,4582.100098,4625.000000,4491.500000,4517.500000,4499.049316,433481
2022-11-01,4577.000000,4647.000000,4470.000000,4511.350098,4492.924316,866656
2022-11-02,4512.000000,4532.799805,4370.000000,4383.100098,4365.197754,643118
2022-11-03,4370.000000,4425.000000,4349.350098,4395.000000,4377.048828,457168
2022-11-04,4410.000000,4410.000000,4340.049805,4362.600098,4344.781738,669679
2022-11-07,4384.450195,4420.000000,4336.450195,4363.799805,4345.977051,356178
2022-11-09,4347.000000,4435.000000,4344.000000,4361.200195,4343.388184,378028
2022-11-10,4374.500000,4377.450195,4250.000000,4285.450195,4267.947266,527721
2022-11-11,4386.000000,4540.000000,4330.049805,4421.399902,4403.341797,1685313
2022-11-14,4430.000000,4568.000000,4425.200195,4556.700195,4538.089355,886587
2022-11-15,4560.000000,4629.000000,4527.000000,4611.950195,4593.113281,492794
2022-11-16,4605.000000,4610.000000,4461.000000,4479.250000,4460.955078,499585
2022-11-17,4490.000000,4515.950195,4370.700195,4400.299805,4382.327637,430622
2022-11-18,4430.000000,4449.000000,4320.000000,4399.149902,4381.182617,385705
2022-11-21,4403.950195,4440.000000,4341.000000,4418.850098,4400.802734,336664
2022-11-22,4420.950195,4480.000000,4380.000000,4469.799805,4451.543945,310657
2022-11-23,4482.299805,4616.149902,4448.000000,4605.200195,4586.391602,799422
2022-11-24,4630.000000,4833.000000,4614.000000,4815.049805,4795.383789,1822610
2022-11-25,4815.000000,4885.000000,4751.049805,4789.450195,4769.888672,1069669
2022-11-28,4761.000000,4768.850098,4683.250000,4721.850098,4702.564941,598162
2022-11-29,4725.000000,4842.000000,4707.649902,4719.200195,4699.925781,910558
2022-11-30,4719.200195,4760.100098,4642.600098,4726.399902,4707.096191,1113421
2022-12-01,4765.000000,4794.000000,4701.049805,4775.700195,4756.194824,611403
2022-12-02,4771.000000,4882.950195,4743.049805,4871.450195,4851.553711,996306
2022-12-05,4885.000000,4901.950195,4766.950195,4778.350098,4758.833496,684834
2022-12-06,4770.350098,4800.000000,4715.000000,4788.049805,4768.494141,354855
2022-12-07,4804.700195,4815.000000,4710.899902,4727.399902,4708.091797,354913
2022-12-08,4738.000000,4777.850098,4681.399902,4704.500000,4685.285156,336491
2022-12-09,4728.000000,4735.950195,4675.250000,4685.100098,4665.964844,271785
2022-12-12,4677.000000,4756.000000,4630.000000,4742.299805,4722.930664,445259
2022-12-13,4746.000000,4761.350098,4661.299805,4678.850098,4659.740234,363818
2022-12-14,4712.000000,4712.000000,4656.600098,4666.149902,4647.091797,356293
2022-12-15,4679.950195,4686.600098,4627.649902,4642.899902,4623.937012,316614
2022-12-16,4638.000000,4638.000000,4551.700195,4565.149902,4546.503906,342890
2022-12-19,4600.000000,4620.000000,4521.049805,4610.450195,4591.619629,308464
2022-12-20,4610.350098,4616.450195,4540.250000,4596.649902,4577.875488,282355
2022-12-21,4610.799805,4788.450195,4602.200195,4766.200195,4746.733398,877375
2022-12-22,4795.000000,4848.799805,4725.000000,4781.700195,4762.170410,902304
2022-12-23,4765.700195,4805.000000,4686.350098,4700.149902,4680.952637,473498
2022-12-26,4723.700195,4740.000000,4652.500000,4684.049805,4664.918945,247357
2022-12-27,4685.000000,4712.700195,4625.649902,4643.799805,4624.833008,226485
2022-12-28,4652.000000,4679.600098,4582.000000,4588.649902,4569.908691,313366
2022-12-29,4588.649902,4610.000000,4478.500000,4524.450195,4505.970703,530411
2022-12-30,4550.000000,4582.450195,4468.100098,4477.600098,4459.312012,348965
2023-01-02,4488.000000,4516.700195,4446.000000,4454.350098,4436.157227,246577
2023-01-03,4467.000000,4508.950195,4425.100098,4490.899902,4472.558105,430096
2023-01-04,4495.000000,4514.100098,4425.000000,4433.299805,4415.192871,414977
2023-01-05,4455.500000,4455.500000,4356.000000,4429.049805,4410.959961,468816
2023-01-06,4442.049805,4474.299805,4369.000000,4387.450195,4369.530273,299640
2023-01-09,4424.350098,4452.149902,4381.049805,4407.700195,4389.697754,407803
2023-01-10,4410.000000,4489.000000,4406.000000,4466.649902,4448.407227,557940
2023-01-11,4474.000000,4482.450195,4336.049805,4360.600098,4342.790527,462687
2023-01-12,4370.950195,4382.399902,4325.250000,4359.750000,4341.943359,207917
2023-01-13,4365.000000,4370.000000,4268.049805,4335.549805,4317.842285,366497
2023-01-16,4364.250000,4364.250000,4285.000000,4294.649902,4277.109375,210854
2023-01-17,4316.200195,4336.450195,4275.000000,4322.850098,4305.194336,294500
2023-01-18,4337.000000,4352.000000,4305.000000,4339.799805,4322.074707,331806
2023-01-19,4339.799805,4339.799805,4285.649902,4318.149902,4300.513672,162244
2023-01-20,4302.000000,4322.450195,4264.200195,4285.250000,4267.747559,242706
2023-01-23,4294.399902,4353.500000,4286.899902,4335.450195,4317.742676,161350
2023-01-24,4349.950195,4349.950195,4290.799805,4305.000000,4287.416992,178860
2023-01-25,4314.950195,4318.000000,4194.000000,4224.350098,4207.096191,423714
2023-01-27,4228.000000,4285.350098,4192.100098,4244.149902,4226.815430,421866
2023-01-30,4236.500000,4260.000000,4123.000000,4237.700195,4220.392090,623069
2023-01-31,4239.500000,4303.750000,4127.049805,4255.899902,4238.517578,671038
2023-02-01,4275.000000,4352.000000,4211.500000,4262.649902,4245.239746,321331
2023-02-02,4262.000000,4262.000000,4170.000000,4231.500000,4214.217285,479256
2023-02-03,4245.000000,4259.799805,4158.000000,4251.600098,4234.235352,413966
2023-02-06,4211.000000,4335.649902,4189.649902,4320.700195,4303.053223,257669
2023-02-07,4305.000000,4360.000000,4271.350098,4315.600098,4297.974121,319090
2023-02-08,4320.000000,4404.299805,4302.549805,4391.250000,4373.314941,250175
2023-02-09,4347.350098,4404.450195,4325.000000,4389.299805,4371.372559,284239
2023-02-10,4385.399902,4425.299805,4350.250000,4416.250000,4398.212402,359807
2023-02-13,4430.399902,4439.600098,4328.000000,4358.649902,4340.847656,272935
2023-02-14,4380.450195,4380.450195,4251.049805,4268.850098,4251.415039,339582
2023-02-15,4170.000000,4514.000000,4170.000000,4487.899902,4469.570313,2724361
2023-02-16,4509.950195,4668.000000,4500.149902,4643.149902,4624.186035,1419679
2023-02-17,4640.149902,4668.950195,4576.000000,4614.700195,4595.852539,408098
2023-02-20,4593.000000,4649.950195,4575.350098,4610.600098,4591.769043,232327
2023-02-21,4611.000000,4640.000000,4491.000000,4502.049805,4483.662109,490637
2023-02-22,4505.000000,4535.950195,4440.000000,4449.100098,4430.928711,333978
2023-02-23,4471.350098,4518.299805,4401.000000,4448.049805,4429.882813,443522
2023-02-24,4455.049805,4486.000000,4396.899902,4470.649902,4458.404297,358946
2023-02-27,4485.000000,4494.750000,4415.049805,4439.750000,4427.589355,215703
2023-02-28,4449.000000,4473.399902,4361.299805,4401.649902,4389.593262,312308
2023-03-01,4401.649902,4446.000000,4337.250000,4413.799805,4401.709961,287008
2023-03-02,4429.000000,4450.200195,4381.350098,4402.200195,4390.142090,313250
2023-03-03,4416.750000,4445.000000,4393.899902,4408.299805,4396.225098,168868
2023-03-06,4416.000000,4488.899902,4412.049805,4421.100098,4408.990234,242661
2023-03-08,4414.899902,4441.200195,4360.000000,4376.049805,4364.062988,246734
2023-03-09,4399.000000,4538.250000,4385.149902,4418.149902,4406.048340,684685
2023-03-10,4399.700195,4399.700195,4291.649902,4317.250000,4305.424805,328154
2023-03-13,4327.000000,4435.950195,4322.000000,4345.000000,4333.098633,496455
2023-03-14,4345.000000,4354.750000,4275.000000,4299.600098,4287.822754,279237
2023-03-15,4334.750000,4367.950195,4309.299805,4328.799805,4316.942383,279479
2023-03-16,4330.950195,4370.000000,4266.000000,4319.049805,4307.219238,300181
2023-03-17,4340.000000,4376.200195,4296.700195,4346.500000,4334.594727,368653
2023-03-20,4322.000000,4353.899902,4195.000000,4313.000000,4301.186523,563835
2023-03-21,4320.000000,4353.899902,4266.000000,4274.000000,4262.292969,239304
2023-03-22,4275.049805,4295.000000,4211.100098,4285.100098,4273.362793,302705
2023-03-23,4276.000000,4299.350098,4243.549805,4273.049805,4261.345703,233054
2023-03-24,4277.500000,4354.649902,4261.000000,4283.350098,4271.617676,354933
2023-03-27,4304.700195,4407.899902,4277.000000,4318.100098,4306.272461,495895
2023-03-28,4334.799805,4343.500000,4245.049805,4333.600098,4321.729980,343628
2023-03-29,4333.600098,4380.000000,4311.100098,4363.000000,4351.049316,250790
2023-03-31,4384.850098,4400.950195,4299.950195,4310.899902,4299.091797,465663
2023-04-03,4343.500000,4343.950195,4220.149902,4234.350098,4222.751953,493574
2023-04-05,4250.000000,4250.000000,4168.000000,4200.950195,4189.443359,622533
2023-04-06,4217.000000,4225.000000,4183.149902,4201.950195,4190.440430,286725
2023-04-10,4215.000000,4243.649902,4187.299805,4237.000000,4225.394531,323560
2023-04-11,4263.000000,4286.799805,4221.149902,4271.299805,4259.600098,284178
2023-04-12,4287.700195,4328.950195,4266.500000,4320.200195,4308.366699,304498
2023-04-13,4329.000000,4481.100098,4320.299805,4398.299805,4386.252441,1257056
2023-04-17,4410.000000,4448.399902,4340.000000,4386.700195,4374.684570,334963
2023-04-18,4380.000000,4384.100098,4293.899902,4338.649902,4326.765625,409038
2023-04-19,4355.000000,4355.000000,4221.549805,4320.299805,4308.466309,517278
2023-04-20,4320.299805,4358.850098,4233.149902,4348.399902,4336.489258,484517
2023-04-21,4340.000000,4428.000000,4318.450195,4361.299805,4349.354004,485292
2023-04-24,4362.299805,4462.200195,4362.299805,4399.049805,4387.000488,571150
2023-04-25,4409.950195,4446.250000,4383.100098,4416.500000,4404.402832,252655
2023-04-26,4419.950195,4488.700195,4401.000000,4410.399902,4398.319336,438486
2023-04-27,4419.850098,4438.500000,4365.049805,4417.500000,4405.399902,400508
2023-04-28,4442.950195,4529.000000,4430.950195,4513.700195,4501.336914,713399
2023-05-02,4529.750000,4573.299805,4476.899902,4490.799805,4478.499023,384900
2023-05-03,4509.750000,4524.450195,4482.000000,4515.450195,4503.082031,287955
2023-05-04,4510.000000,4569.899902,4500.000000,4553.200195,4540.728516,391146
2023-05-05,4550.000000,4630.000000,4521.500000,4602.500000,4589.893066,332169
2023-05-08,4611.000000,4660.000000,4585.000000,4625.100098,4612.431641,274255
2023-05-09,4645.899902,4647.899902,4582.299805,4593.049805,4580.469238,207566
2023-05-10,4593.049805,4634.000000,4577.000000,4601.299805,4588.696289,293523
2023-05-11,4610.950195,4645.000000,4584.649902,4595.299805,4582.712891,409446
2023-05-12,4595.000000,4640.000000,4535.000000,4605.250000,4592.635742,427837
2023-05-15,4609.950195,4689.000000,4591.100098,4625.850098,4613.179199,401847
2023-05-16,4625.000000,4642.250000,4541.000000,4555.100098,4542.623535,310725
2023-05-17,4580.049805,4599.600098,4458.000000,4482.149902,4469.873047,266803
2023-05-18,4510.000000,4529.899902,4433.000000,4442.000000,4429.833008,167057
2023-05-19,4455.000000,4465.000000,4410.250000,4447.149902,4434.968750,177405
2023-05-22,4459.799805,4625.000000,4451.950195,4605.299805,4592.685547,361967
2023-05-23,4605.000000,4617.049805,4533.000000,4550.399902,4537.936035,433331
2023-05-24,4540.950195,4607.000000,4523.350098,4536.450195,4524.024414,225979
2023-05-25,4569.000000,4597.950195,4530.950195,4568.149902,4555.637695,202680
2023-05-26,4590.000000,4620.000000,4551.250000,4609.899902,4597.273438,289579
2023-05-29,4635.000000,4665.000000,4580.649902,4640.450195,4627.739258,332364
2023-05-30,4672.000000,4795.000000,4535.450195,4599.149902,4586.552246,1298380
2023-05-31,4600.000000,4731.000000,4525.000000,4621.950195,4609.290039,1655511
2023-06-01,4689.000000,4847.000000,4686.000000,4814.250000,4801.063477,1692479
2023-06-02,4839.649902,5002.200195,4806.000000,4967.299805,4953.693848,1326161
2023-06-05,4967.950195,5009.200195,4934.049805,4950.200195,4936.641602,698352
2023-06-06,4969.000000,4969.450195,4893.500000,4940.100098,4926.568848,382992
2023-06-07,4964.450195,5040.000000,4950.049805,5026.450195,5012.682129,552840
2023-06-08,5020.000000,5028.549805,4920.000000,4926.649902,4913.155273,411502
2023-06-09,4926.649902,4965.850098,4907.049805,4926.700195,4913.205566,249400
2023-06-12,4949.000000,4995.000000,4915.049805,4924.750000,4911.260254,343835
2023-06-13,4925.000000,4990.000000,4916.750000,4951.049805,4937.488281,308751
2023-06-14,4965.000000,5022.549805,4951.049805,5009.000000,4995.279785,360156
2023-06-15,5039.950195,5259.799805,5018.000000,5218.750000,5204.455566,1712253
2023-06-16,5218.750000,5294.000000,5163.049805,5200.049805,5185.806152,797312
2023-06-19,5220.000000,5261.950195,5135.299805,5145.000000,5130.907715,327818
